input file,prediction_fraction,k,comp_time,random_prediction_dataset,min_max_normalization,holidays_flag,join_holidays,month_flag,past_values,reduced size,best model,best model cross val score,best model test score,,,,,,,,,
Main_cbe_08.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.841124263,0.947169684,DummyRegressor,-0.045698711,KNeighborsRegressor,0.788067066,RandomForestRegressor,0.826816902,ExtraTreesRegressor,0.841124263,
Main_cbe_09.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.343345595,0.721538142,DummyRegressor,-0.252930931,KNeighborsRegressor,0.281315602,RandomForestRegressor,0.306842315,ExtraTreesRegressor,0.343345595,
Main_cbe_04.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.72505793,0.750783521,DummyRegressor,-0.096047915,KNeighborsRegressor,0.653285278,RandomForestRegressor,0.713990688,ExtraTreesRegressor,0.72505793,
Main_cbe_05.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.878843935,0.884504189,DummyRegressor,-0.009231408,KNeighborsRegressor,0.810718482,RandomForestRegressor,0.875005497,ExtraTreesRegressor,0.878843935,
Main_cbe_10.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.68868681,0.803735114,DummyRegressor,-0.031465215,KNeighborsRegressor,0.589443599,RandomForestRegressor,0.67822954,ExtraTreesRegressor,0.68868681,
Main_cbe_02.csv,0.25,5,1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.821359965,0.840141035,DummyRegressor,-0.015596563,KNeighborsRegressor,0.743668553,RandomForestRegressor,0.80987292,ExtraTreesRegressor,0.821359965,
Main_cbe_08.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.841123472,0.948114926,DummyRegressor,-0.045698711,KNeighborsRegressor,0.788067066,RandomForestRegressor,0.820752185,ExtraTreesRegressor,0.841123472,
Main_cbe_08.csv,0.25,5,0.01,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.835543252,0.940735087,DummyRegressor,-0.045698711,KNeighborsRegressor,0.787887039,RandomForestRegressor,0.818423622,ExtraTreesRegressor,0.835543252,
Main_cbe_08short.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.808135187,0.87239459,DummyRegressor,-0.092696248,KNeighborsRegressor,0.783600291,RandomForestRegressor,0.791340099,ExtraTreesRegressor,0.808135187,
Main_cbe_08shorter.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.937050549,0.919905158,DummyRegressor,-0.006087425,KNeighborsRegressor,0.88417657,RandomForestRegressor,0.926967327,ExtraTreesRegressor,0.937050549,
Main_cbe_08shorter.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,ExtraTreesRegressor,0.93809097,0.923392512,DummyRegressor,-0.006087425,KNeighborsRegressor,0.88388989,RandomForestRegressor,0.92921031,ExtraTreesRegressor,0.93809097,
